filepath,start,stop,text
Pm51-63.mp3,313.8,321.74,भङ्गीभक्त्या विरचितवपुः स्तम्भितान्तर्जलौघः
Pm51-63.mp3,321.76,330.36,सोपानत्वं कुरु मणितटारोहणायाग्रयायी
Pm51-63.mp3,330.38,338.7,तत्रावश्यं वलयकुलिशोद्घट्टनोद्गीर्णतोयं
Pm51-63.mp3,338.72,347.06,नेष्यन्ति त्वां सुरयुवतयः यन्त्रधारागृहत्वम्
Pm51-63.mp3,347.08,354.82,ताभ्यो मोक्षस्तव यदि सखे घर्मलब्धस्य न स्यात्
Pm51-63.mp3,354.84,363.82,क्रीडालोलाः श्रवणपरुषैर्गर्जितैर्भाययेस्ताः
Pm51-63.mp3,363.84,372.52,हेमाम्भोजप्रसवि सलिलं मानसस्याददानः
Pm51-63.mp3,372.54,380.36,कुर्वन् कामं क्षणमुखपटप्रीतिमैरावतस्य
Pm51-63.mp3,380.38,388.44,धुन्वन् कल्पद्रुमकिसलयान् यंशुकानीव वातैः
Pm51-63.mp3,388.46,397.44,नानाचेष्टैर्जलद ललितैर्निर्विशेस्तं नगेन्द्रम्
Pm51-63.mp3,397.46,407.18,तस्योत्सङ्गे प्रणयिन इव स्रस्तगङ्गादुकूलां
Pm51-63.mp3,407.2,415.14,न त्वं दृष्ट्वा न पुनरलकां ज्ञास्यसे कामचारिन्
Pm51-63.mp3,415.16,423.28,या वः काले वहति सलिलोद्गारमुच्चैर्विमाना
Pm51-63.mp3,423.3,431.36,मुक्ताजालग्रथितमलकं कामिनीवाभ्रवृन्दम्
